RPM,Electrical Power
1.000000000000000000e+01,6.515441400241210254e-03
1.079079079079079051e+01,7.586654194618414233e-03
1.158158158158158102e+01,8.739354945174694980e-03
1.237237237237237153e+01,9.973543531608453083e-03
1.316316316316316382e+01,1.128921982511372005e-02
1.395395395395395433e+01,1.268638368838014875e-02
1.474474474474474484e+01,1.416503497559310973e-02
1.553553553553553712e+01,1.572517353243369290e-02
1.632632632632632763e+01,1.736679919607877348e-02
1.711711711711711814e+01,1.908991179520097906e-02
1.790790790790790865e+01,2.089451114996889597e-02
1.869869869869869916e+01,2.278059707204689935e-02
1.948948948948948967e+01,2.474816936459540984e-02
2.028028028028028018e+01,2.679722782227082420e-02
2.107107107107107424e+01,2.892777223122555003e-02
2.186186186186186120e+01,3.113980236910815144e-02
2.265265265265265526e+01,3.343331800506338380e-02
2.344344344344344222e+01,3.580831889973214166e-02
2.423423423423423628e+01,3.826480480525176753e-02
2.502502502502502679e+01,4.080277546525582638e-02
2.581581581581581730e+01,4.342223061487431035e-02
2.660660660660660781e+01,4.612316998073381913e-02
2.739739739739739832e+01,4.890559328095742120e-02
2.818818818818818883e+01,5.176950022516486200e-02
2.897897897897897934e+01,5.471489051447257085e-02
2.976976976976976985e+01,5.774176384149377200e-02
3.056056056056056036e+01,6.085011989033863727e-02
3.135135135135135442e+01,6.403995833661421666e-02
3.214214214214214849e+01,6.731127884742460488e-02
3.293293293293293544e+01,7.066408108137102462e-02
3.372372372372372240e+01,7.409836468855192371e-02
3.451451451451451646e+01,7.761412931056314857e-02
3.530530530530531053e+01,8.121137458049773605e-02
3.609609609609609748e+01,8.489010012294646856e-02
3.688688688688688444e+01,8.865030555399749934e-02
3.767767767767767850e+01,9.249199048123685207e-02
3.846846846846847257e+01,9.641515450374814333e-02
3.925925925925925952e+01,1.004197972121132348e-01
4.005005005005005358e+01,1.045059181884116645e-01
4.084084084084084054e+01,1.086735170062211042e-01
4.163163163163163460e+01,1.129225932306177349e-01
4.242242242242242156e+01,1.172531464181757604e-01
4.321321321321321562e+01,1.216651761169679768e-01
4.400400400400400969e+01,1.261586818665660081e-01
4.479479479479479664e+01,1.307336631980394459e-01
4.558558558558559071e+01,1.353901196339576674e-01
4.637637637637637766e+01,1.401280506883882115e-01
4.716716716716717173e+01,1.449474558668981672e-01
4.795795795795795868e+01,1.498483346665535343e-01
4.874874874874875275e+01,1.548306865759196960e-01
4.953953953953953970e+01,1.598945110750617238e-01
5.033033033033033377e+01,1.650398076355437671e-01
5.112112112112112072e+01,1.702665757204304964e-01
5.191191191191191479e+01,1.755748147842857154e-01
5.270270270270270885e+01,1.809645242731736103e-01
5.349349349349349581e+01,1.864357036246586385e-01
5.428428428428428987e+01,1.919883522678051402e-01
5.507507507507507682e+01,1.976224696231782263e-01
5.586586586586587089e+01,2.033380551028436956e-01
5.665665665665665784e+01,2.091351081103678677e-01
5.744744744744745191e+01,2.150136280408181388e-01
5.823823823823823886e+01,2.209736142807629811e-01
5.902902902902903293e+01,2.270150662082721371e-01
5.981981981981981988e+01,2.331379831929163149e-01
6.061061061061061395e+01,2.393423645957685197e-01
6.140140140140140801e+01,2.456282097694031108e-01
6.219219219219219497e+01,2.519955180578958842e-01
6.298298298298298903e+01,2.584442887968255165e-01
6.377377377377377599e+01,2.649745213132727595e-01
6.456456456456456294e+01,2.715862149258201907e-01
6.535535535535535701e+01,2.782793689445537400e-01
6.614614614614615107e+01,2.850539826710616897e-01
6.693693693693694513e+01,2.919100553984352309e-01
6.772772772772773919e+01,2.988475864112690727e-01
6.851851851851851904e+01,3.058665749856605554e-01
