RPM,RPMS Power (RL=1),RPMS Power (RL=2),RPMS Power (RL=10),RPMS Power (RL=15),RPMS Power (RL=22),RPMS Power (RL=33),RPMS Power (RL=47),RPMS Power (RL=68)
1.000000000000000000e+01,5.791497202207512504e-03,6.515441400241210254e-03,3.619694141577871945e-03,2.705377146018758411e-03,1.990832008598840928e-03,1.404146033171120578e-03,1.020328759217841190e-03,7.233479663368304856e-04
1.079079079079079051e+01,6.743684123458075150e-03,7.586654194618414233e-03,4.214813953044431113e-03,3.150172650683730549e-03,2.318147987012110934e-03,1.635004006948266196e-03,1.188082701340166091e-03,8.422748048197886738e-04
1.158158158158158102e+01,7.768304235642721663e-03,8.739354945174694980e-03,4.855205242631059799e-03,3.628804295748403862e-03,2.670363298570682317e-03,1.883423635351141661e-03,1.368597896071671333e-03,9.702485571536352375e-04
1.237237237237237153e+01,8.865357348656502032e-03,9.973543531608453083e-03,5.540868002911673515e-03,4.141272078447238818e-03,3.047477942253472554e-03,2.149404918041117243e-03,1.561874343286812593e-03,1.107269223294758687e-03
1.316316316316316382e+01,1.003484325895576297e-02,1.128921982511372005e-02,6.271802225935223588e-03,4.687575995819184306e-03,3.449491916967211205e-03,2.432947854655625759e-03,1.767912042851173303e-03,1.253336803196465794e-03
1.395395395395395433e+01,1.127676174955817914e-02,1.268638368838014875e-02,7.048007903225666365e-03,5.267716044707684148e-03,3.876405221546436013e-03,2.734052444808154556e-03,1.986710994621452946e-03,1.408451296808977153e-03
1.474474474474474484e+01,1.259111259004293097e-02,1.416503497559310973e-02,7.869485025782003984e-03,5.881692221760680128e-03,4.328217854753515018e-03,3.052718688088255482e-03,2.218271198445486130e-03,1.572612704079433136e-03
1.553553553553553712e+01,1.397789553655075755e-02,1.572517353243369290e-02,8.736233584078248807e-03,6.529504523430603759e-03,4.804929815278620106e-03,3.388946584061543373e-03,2.462592654162223081e-03,1.745821024951889778e-03
1.632632632632632763e+01,1.543711033178409194e-02,1.736679919607877348e-02,9.648253568063461585e-03,7.211152945974384949e-03,5.306541101739743922e-03,3.742736132269690406e-03,2.719675361601745466e-03,1.928076259367320295e-03
1.711711711711711814e+01,1.696875670500716873e-02,1.908991179520097906e-02,1.060554496716169075e-02,7.926637485453436396e-03,5.833051712682693797e-03,4.114087332230428710e-03,2.989519320585256202e-03,2.119378407263612912e-03
1.790790790790790865e+01,1.857283437204616805e-02,2.089451114996889597e-02,1.160810777027206260e-02,8.675958137733684808e-03,6.384461646581094350e-03,4.503000183437561206e-03,3.272124530925084665e-03,2.319727468575576504e-03
1.869869869869869916e+01,2.024934303528934387e-02,2.278059707204689935e-02,1.265594196576868245e-02,9.459114898485538811e-03,6.960770901836384021e-03,4.909474685360936883e-03,3.567490992424682782e-03,2.529123443234934307e-03
1.948948948948948967e+01,2.199828238368714203e-02,2.474816936459540984e-02,1.374904754150073002e-02,1.027610776318390630e-02,7.561979476777823742e-03,5.333510837446478990e-03,3.875618704878634573e-03,2.747566331170328904e-03
2.028028028028028018e+01,2.381965209275233031e-02,2.679722782227082420e-02,1.488742448479235883e-02,1.112693672710818142e-02,8.188087369662474385e-03,5.775108639116165524e-03,4.196507668072636636e-03,2.975056132307317240e-03
2.107107107107107424e+01,2.571345182456023434e-02,2.892777223122555003e-02,1.607107278244279680e-02,1.201160178534226367e-02,8.839094578675234931e-03,6.234268089768033559e-03,4.530157881783520267e-03,3.211592846568372787e-03
2.186186186186186120e+01,2.767968122774879317e-02,3.113980236910815144e-02,1.729999242072627341e-02,1.293010293277454571e-02,9.515001101928797361e-03,6.710989188776183591e-03,4.876569345779236710e-03,3.457176473872889018e-03
2.265265265265265526e+01,2.971833993751875694e-02,3.343331800506338380e-02,1.857418338539206307e-02,1.388244016409791171e-02,1.021580693746369263e-02,7.205271935490781265e-03,5.235742059818865833e-03,3.711807014137172896e-03
2.344344344344344222e+01,3.182942757563389513e-02,3.580831889973214166e-02,1.989364566166445386e-02,1.486861347380972163e-02,1.094151208324823342e-02,7.717116329238048709e-03,5.607676023652603987e-03,3.975484467274448784e-03
2.423423423423423628e+01,3.401294375042118040e-02,3.826480480525176753e-02,2.125837923424280657e-02,1.588862285621189113e-02,1.169211653717860955e-02,8.246522369320266263e-03,5.992371237021790892e-03,4.248208833194866245e-03
2.502502502502502679e+01,3.626888805677079552e-02,4.080277546525582638e-02,2.266838408730144708e-02,1.694246830541075791e-02,1.246762029707875787e-02,8.793490055015784623e-03,6.389827699658864532e-03,4.529980111805479229e-03
2.581581581581581730e+01,3.859726007613659138e-02,4.342223061487431035e-02,2.412366020448977050e-02,1.803014981531718755e-02,1.326802336070046114e-02,9.358019385578994487e-03,6.800045411287407131e-03,4.820798303010261250e-03
2.660660660660660781e+01,4.099805937653606958e-02,4.612316998073381913e-02,2.562420756893216481e-02,1.915166737964656488e-02,1.409332572572333242e-02,9.940110360240379458e-03,7.223024371622127800e-03,5.120663406710110159e-03
2.739739739739739832e+01,4.347128551255068779e-02,4.890559328095742120e-02,2.717002616322814965e-02,2.030702099191871238e-02,1.494352738975478212e-02,1.053976297820646314e-02,7.658764580368839989e-03,5.429575422802836865e-03
2.818818818818818883e+01,4.601693802532607486e-02,5.176950022516486200e-02,2.876111596945216814e-02,2.149621064545802554e-02,1.581862835033004400e-02,1.115697723865983690e-02,8.107266037224508323e-03,5.747534351183167939e-03
2.897897897897897934e+01,4.863501644257206546e-02,5.471489051447257085e-02,3.039747696915374650e-02,2.271923633339331672e-02,1.671862860491214742e-02,1.179175314075914249e-02,8.568528741877192226e-03,6.074540191742743879e-03
2.976976976976976985e+01,5.132552027856330384e-02,5.774176384149377200e-02,3.207910914335741770e-02,2.397609804865794350e-02,1.764352815089198154e-02,1.244409068363909118e-02,9.042552694006117039e-03,6.410592944370132988e-03
3.056056056056056036e+01,5.408844903413895233e-02,6.085011989033863727e-02,3.380601247256277697e-02,2.526679578398972892e-02,1.859332698558820510e-02,1.311398986641046718e-02,9.529337893281577751e-03,6.755692608950807088e-03
3.135135135135135442e+01,5.692380219670337138e-02,6.403995833661421666e-02,3.557818693674448529e-02,2.659132953193101348e-02,1.956802510624732275e-02,1.380145068816008083e-02,1.002888433936505001e-02,7.109839185367164936e-03
3.214214214214214849e+01,5.983157924022622365e-02,6.731127884742460488e-02,3.739563251535211325e-02,2.794969928482865171e-02,2.056762251004367117e-02,1.450647314795086053e-02,1.054119203190909647e-02,7.473032673498520087e-03
3.293293293293293544e+01,6.281177962524242542e-02,7.066408108137102462e-02,3.925834918731040124e-02,2.934190503483394621e-02,2.159211919407933236e-02,1.522905724482172610e-02,1.106626097055742573e-02,7.845273073221093948e-03
3.372372372372372240e+01,6.586440279885287519e-02,7.409836468855192371e-02,4.116633693101905134e-02,3.076794677390269975e-02,2.264151515538424461e-02,1.596920297778769635e-02,1.160409115494484208e-02,8.226560384408037468e-03
3.451451451451451646e+01,6.898944819472449530e-02,7.761412931056314857e-02,4.311959572435285215e-02,3.222782449379527070e-02,2.371581039091624071e-02,1.672691034583989253e-02,1.215468258469733567e-02,8.616894606929419859e-03
3.530530530530531053e+01,7.218691523309028746e-02,8.121137458049773605e-02,4.511812554466156783e-02,3.372153818607649678e-02,2.481500489756081201e-02,1.750217934794539437e-02,1.271803525943194201e-02,9.016275740652206910e-03
3.609609609609609748e+01,7.545680332075002661e-02,8.489010012294646856e-02,4.716192636877011846e-02,3.524908784211562562e-02,2.593909867213139986e-02,1.829500998304743609e-02,1.329414917875687552e-02,9.424703785440306097e-03
3.688688688688688444e+01,7.879911185107012217e-02,8.865030555399749934e-02,4.925099817297822619e-02,3.681047345308647439e-02,2.708809171136919783e-02,1.910540225006525372e-02,1.388302434227144978e-02,9.842178741154519739e-03
3.767767767767767850e+01,8.221384020398411763e-02,9.249199048123685207e-02,5.138534093306096340e-02,3.840569500996737773e-02,2.826198401194324195e-02,1.993335614789419966e-02,1.448466074956613128e-02,1.026870060765259357e-02
3.846846846846847257e+01,8.570098774599306524e-02,9.641515450374814333e-02,5.356495462426820453e-02,4.003475250354113918e-02,2.946077557045036210e-02,2.077887167540562810e-02,1.509905840022248737e-02,1.070426938478916470e-02
3.925925925925925952e+01,8.926055383016560929e-02,1.004197972121132348e-01,5.578983922132497303e-02,4.169764592439506590e-02,3.068446638341522717e-02,2.164194883144701653e-02,1.572621729381321054e-02,1.114888507241580326e-02
4.005005005005005358e+01,9.289253779613834694e-02,1.045059181884116645e-01,5.805999469843131644e-02,4.339437526292092007e-02,3.193305644729034498e-02,2.252258761484184080e-02,1.636613742990214102e-02,1.160254767038099329e-02
4.084084084084084054e+01,9.659693897011611963e-02,1.086735170062211042e-01,6.037542102926223703e-02,4.512494050931502299e-02,3.320654575845589929e-02,2.342078802438965143e-02,1.701881880804419905e-02,1.206525717853012061e-02
4.163163163163163460e+01,1.003737566648725960e-01,1.129225932306177349e-01,6.273611818696800402e-02,4.688934165357817874e-02,3.450493431322012444e-02,2.433655005886613265e-02,1.768426142778548385e-02,1.253701359670551622e-02
4.242242242242242156e+01,1.042229901797500774e-01,1.172531464181757604e-01,6.514208614417363319e-02,4.868757868551561868e-02,3.582822210781883704e-02,2.526987371702288376e-02,1.836246528866318159e-02,1.301781692474639901e-02
4.321321321321321562e+01,1.081446388006602755e-01,1.216651761169679768e-01,6.759332487297942116e-02,5.051965159473719574e-02,3.717640913841586264e-02,2.622075899758775572e-02,1.905343039020561402e-02,1.350766716248892434e-02
4.400400400400400969e+01,1.121387018000845198e-01,1.261586818665660081e-01,7.008983434496064702e-02,5.238556037065718318e-02,3.854949540110270967e-02,2.718920589926450415e-02,1.975715673193224192e-02,1.400656430976617017e-02
4.479479479479479664e+01,1.162051784370737584e-01,1.307336631980394459e-01,7.263161453116750987e-02,5.428530500249426072e-02,3.994748089189872203e-02,2.817521442073296981e-02,2.047364431335359919e-02,1.451450836640808505e-02
4.558558558558559071e+01,1.203440679572496258e-01,1.353901196339576674e-01,7.521866540212547581e-02,5.621888547927190311e-02,4.137036560675116242e-02,2.917878456064914791e-02,2.120289313397143854e-02,1.503149933224159907e-02
4.637637637637637766e+01,1.245553695928039717e-01,1.401280506883882115e-01,7.785098692783490315e-02,5.818630178981774176e-02,4.281814954153501107e-02,3.019991631764499390e-02,2.194490319327853725e-02,1.555753720709052504e-02
4.716716716716717173e+01,1.288390825625000125e-01,1.449474558668981672e-01,8.052857907777123680e-02,6.018755392276414068e-02,4.429083269205305595e-02,3.123860969032859342e-02,2.269967449075886365e-02,1.609262199077559144e-02
4.795795795795795868e+01,1.331952060716717900e-01,1.498483346665535343e-01,8.325144182088492495e-02,6.222264186654778706e-02,4.578841505403598300e-02,3.229486467728401311e-02,2.346720702588748000e-02,1.663675368311445107e-02
4.874874874874875275e+01,1.376237393122254626e-01,1.548306865759196960e-01,8.601957512560161334e-02,6.429156560941003129e-02,4.731089662314220956e-02,3.336868127707146026e-02,2.424750079813059803e-02,1.718993228392167935e-02
4.953953953953953970e+01,1.421246814626390131e-01,1.598945110750617238e-01,8.883297895982182613e-02,6.639432513939666491e-02,4.885827739495805094e-02,3.446005948822717518e-02,2.504055580694552682e-02,1.775215779300875346e-02
5.033033033033033377e+01,1.466980316879629709e-01,1.650398076355437671e-01,9.169165329092124339e-02,6.853092044435785124e-02,5.043055736499753305e-02,3.556899930926342435e-02,2.584637205178068678e-02,1.832343021018406279e-02
5.112112112112112072e+01,1.513437891398206891e-01,1.702665757204304964e-01,9.459559808575063178e-02,7.070135151194853473e-02,5.202773652870265608e-02,3.669550073866864603e-02,2.666494953207571364e-02,1.890374953525295748e-02
5.191191191191191479e+01,1.560619529564087893e-01,1.755748147842857154e-01,9.754481331063566407e-02,7.290561832962778877e-02,5.364981488144307531e-02,3.783956377490716588e-02,2.749628824726125381e-02,1.949311576801764437e-02
5.270270270270270885e+01,1.608525222624973550e-01,1.809645242731736103e-01,1.005392989313771412e-01,7.514372088465953725e-02,5.529679241851629540e-02,3.900118841641951606e-02,2.834038819675911008e-02,2.009152890827727717e-02
5.349349349349349581e+01,1.657154961694309314e-01,1.864357036246586385e-01,1.035790549132510896e-01,7.741565916411204118e-02,5.696866913514779529e-02,4.018037466162224097e-02,2.919724937998229713e-02,2.069898895582794954e-02
5.428428428428428987e+01,1.706508737751276927e-01,1.919883522678051402e-01,1.066640812210083028e-01,7.972143315485799575e-02,5.866544502649063964e-02,4.137712250890795973e-02,3.006687179633484031e-02,2.131549591046263611e-02
5.507507507507507682e+01,1.756586541640814958e-01,1.976224696231782263e-01,1.097943778188747027e-01,8.206104284357476630e-02,6.038712008762583960e-02,4.259143195664525511e-02,3.094925544521192826e-02,2.194104977197123413e-02
5.586586586586587089e+01,1.807388364073611864e-01,2.033380551028436956e-01,1.129699446705515198e-01,8.443448821674405524e-02,6.213369431356222800e-02,4.382330300317895805e-02,3.184440032599989562e-02,2.257565054014055300e-02
5.665665665665665784e+01,1.858914195626112098e-01,2.091351081103678677e-01,1.161907817392147380e-01,8.684176926065213797e-02,6.390516769923640372e-02,4.507273564682979378e-02,3.275230643807614667e-02,2.321929821475435599e-02
5.744744744744745191e+01,1.911164026740523048e-01,2.150136280408181388e-01,1.194568889875156081e-01,8.928288596138986288e-02,6.570154023951285671e-02,4.633972988589462466e-02,3.367297378080932879e-02,2.387199279559326995e-02
5.823823823823823886e+01,1.964137847724818642e-01,2.209736142807629811e-01,1.227682663775803151e-01,9.175783830485245707e-02,6.752281192918384300e-02,4.762428571864641552e-02,3.460640235355911393e-02,2.453373428243489987e-02
5.902902902902903293e+01,2.017835648752741573e-01,2.270150662082721371e-01,1.261249138710102136e-01,9.426662627673969286e-02,6.936898276296936394e-02,4.892640314333403934e-02,3.555259215567628528e-02,2.520452267505373170e-02
5.981981981981981988e+01,2.072257419863810513e-01,2.331379831929163149e-01,1.295268314288815503e-01,9.680924986255587394e-02,7.124005273551733963e-02,5.024608215818258256e-02,3.651154318650278591e-02,2.588435797322112888e-02
6.061061061061061395e+01,2.127403150963323719e-01,2.393423645957685197e-01,1.329740190117458531e-01,9.938570904760977986e-02,7.313602184140351181e-02,5.158332276139314387e-02,3.748325544537173259e-02,2.657324017670543298e-02
6.140140140140140801e+01,2.183272831822366811e-01,2.456282097694031108e-01,1.364664765796296253e-01,1.019960038170147354e-01,7.505689007513149935e-02,5.293812495114288280e-02,3.846772893160726320e-02,2.727116928527193590e-02
